Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,460280168,5905.161136,11759991,150.8747207,1679216,6050018,77.61866282,35446,0.454754204,1751
United States of America,Americas,78865157,23826.141,249873,75.49,71241,958609,289.608,4670,1.411,-2094
India,South-East Asia,42998938,3115.855,23055,1.671,2876,516072,37.396,717,0.052,98
Brazil,Americas,29380063,13822.047,310594,146.121,11287,655249,308.266,2908,1.368,171
France,Europe,22938532,35268.693,465603,715.879,113572,137293,211.092,804,1.236,146
The United Kingdom,Europe,19820185,29196.276,466292,686.875,52822,163095,240.248,447,0.658,16
Germany,Europe,17695210,21276.794,1453140,1747.262,262593,126142,151.674,1378,1.657,269
Russian Federation,Europe,17449438,11957.037,309369,211.992,36519,362478,248.384,4232,2.9,576
Turkey,Europe,14599792,17310.829,175045,207.549,24614,96735,114.698,924,1.096,115
Italy,Europe,13489319,22617.341,379792,636.792,86414,157177,263.536,976,1.636,180
Spain,Europe,11260125,23789.358,96618,204.126,12832,101416,214.262,517,1.092,61
Argentina,Americas,8981155,19871.67,31793,70.345,5076,127295,281.652,394,0.872,38
Republic of Korea,Western Pacific,7629275,14880.82,2417174,4714.672,400741,11052,21.557,1612,3.144,164
Netherlands,Europe,7266972,41746.009,429252,2465.891,52948,21725,124.802,104,0.597,12
Iran (Islamic Republic of),Eastern Mediterranean,7130129,8488.961,27970,33.3,3223,139180,165.704,920,1.095,117
Viet Nam,Western Pacific,6552918,6732.087,1776045,1824.605,175480,41545,42.681,568,0.584,68
Colombia,Americas,6077288,11943.677,4632,9.103,469,139315,273.795,195,0.383,18
Indonesia,South-East Asia,5927550,2167.107,100961,36.911,13018,152975,55.928,1840,0.673,230
Poland,Europe,5851147,15414.737,76234,200.837,14475,113773,299.733,772,2.034,151
Japan,Western Pacific,5808242,4592.35,324718,256.742,0,26262,20.764,981,0.776,0
Mexico,Americas,5607845,4349.434,7320,5.677,0,321115,249.056,162,0.126,0
Ukraine,Europe,4917757,11244.762,35396,80.935,5229,107340,245.44,556,1.271,71
Malaysia,Western Pacific,3872135,11963.589,191182,590.688,26534,33994,105.03,610,1.885,95
Israel,Europe,3733319,43132.128,40630,469.41,6310,10401,120.166,38,0.439,1
Czechia,Europe,3707588,34669.994,54371,508.428,10751,39248,367.012,172,1.608,32
South Africa,Africa,3696823,6233.189,11703,19.732,1648,99727,168.149,118,0.199,2
Philippines,Western Pacific,3671293,3350.298,2945,2.688,0,57625,52.587,553,0.505,0
Belgium,Europe,3669964,31850.58,45291,393.068,12,30472,264.458,113,0.981,5
Peru,Americas,3536842,10726.852,8804,26.702,346,211579,641.696,424,1.286,33
Portugal,Europe,3413013,33149.215,60139,584.106,0,21342,207.286,94,0.913,0
Canada,Americas,3367292,8921.833,35622,94.383,7150,36944,97.885,-95,-0.252,63
Chile,Americas,3323324,17384.856,108998,570.187,10082,44039,230.375,779,4.075,34
Austria,Europe,3256683,36587.57,306297,3441.128,36792,14609,164.126,141,1.584,31
Thailand,South-East Asia,3250642,4657.082,161769,231.761,23945,23918,34.266,480,0.688,70
Australia,Western Pacific,3246409,12731.074,209908,823.172,33939,5616,22.024,152,0.596,25
Switzerland,Europe,3156409,36470.807,146120,1688.347,29,12800,147.898,31,0.358,0
Denmark,Europe,2968444,50979.99,76681,1316.918,9947,5232,89.854,284,4.877,36
Romania,Europe,2798935,14480.617,22025,113.949,4854,64450,333.44,356,1.842,69
Greece,Europe,2684916,25049.211,146748,1369.101,26620,26686,248.97,383,3.573,51
Sweden,Europe,2470254,23918.981,9459,91.59,778,17874,173.07,36,0.349,0
Iraq,Eastern Mediterranean,2313943,5752.858,4127,10.26,573,25109,62.425,33,0.082,4
Bangladesh,South-East Asia,1949942,1184.012,1471,0.893,0,29112,17.677,15,0.009,0
Serbia,Europe,1945142,28081.779,14705,212.294,2415,15619,225.49,131,1.891,15
Hungary,Europe,1819264,18621.825,9347,95.675,4902,44831,458.886,282,2.887,178
Jordan,Eastern Mediterranean,1680179,16467.283,25502,249.943,0,13959,136.811,77,0.755,0
Georgia,Europe,1638790,41080.925,8860,222.101,1099,16595,416.001,139,3.484,10
Slovakia,Europe,1597668,29272.722,63224,1158.4,11528,19009,348.286,223,4.086,30
Pakistan,Eastern Mediterranean,1519627,687.949,4235,1.917,473,30313,13.723,32,0.014,4
Kazakhstan,Europe,1393103,7419.315,765,4.074,121,18997,101.173,14,0.075,2
Ireland,Europe,1360015,27395.134,33223,669.219,6282,6636,133.671,54,1.088,12
Norway,Europe,1357276,25286.554,33115,616.945,3011,1751,32.622,2,0.037,0
Morocco,Eastern Mediterranean,1162236,3148.79,460,1.246,111,16046,43.473,17,0.046,3
Bulgaria,Europe,1117525,16076.068,11557,166.252,2393,36196,520.695,232,3.337,34
Lebanon,Eastern Mediterranean,1085846,15908.794,5465,80.068,614,10219,149.719,50,0.733,8
Cuba,Americas,1077966,9517.106,4015,35.447,561,8503,75.071,2,0.018,0
Croatia,Europe,1074706,26482.56,9705,239.147,1179,15373,378.817,123,3.031,19
Tunisia,Eastern Mediterranean,1029762,8713.048,11855,100.308,166,28065,237.464,76,0.643,3
Nepal,South-East Asia,978085,3356.871,376,1.29,41,11950,41.013,1,0.003,0
Lithuania,Europe,975151,34900.486,29768,1065.392,5954,8676,310.513,88,3.15,11
Singapore,Western Pacific,964329,16483.293,95787,1637.289,15851,1159,19.811,60,1.026,6
Belarus,Europe,943027,9979.839,10078,106.653,693,6681,70.703,87,0.921,11
Slovenia,Europe,923011,44039.705,15262,728.197,4201,7240,345.443,14,0.668,0
Mongolia,Western Pacific,916126,27945.24,2110,64.363,97,2105,64.21,1,0.031,0
Bolivia (Plurinational State of),Americas,897970,7692.696,2316,19.841,0,21475,183.971,5,0.043,0
United Arab Emirates,Eastern Mediterranean,885983,8958.008,2390,24.165,280,2302,23.275,0,0,0
Uruguay,Americas,865644,24919.726,9761,280.995,1268,7103,204.478,52,1.497,8
Ecuador,Americas,849386,4814.28,7423,42.073,0,35347,200.345,38,0.215,0
Costa Rica,Americas,825158,16198.251,7620,149.584,454,8186,160.695,65,1.276,8
Guatemala,Americas,805393,4495.492,9585,53.501,363,17159,95.777,53,0.296,6
China,Western Pacific,791571,53.801,133468,9.072,13947,10057,0.684,1990,0.135,289
Azerbaijan,Europe,790962,7801.049,1205,11.885,142,9627,94.949,80,0.789,9
Finland,Europe,778617,14091.871,41065,743.219,3350,2763,50.006,2,0.036,0
Panama,Americas,759782,17608.877,1852,42.922,146,8140,188.654,22,0.51,3
Latvia,Europe,750683,39350.676,38412,2013.551,6250,5435,284.902,81,4.246,6
Saudi Arabia,Eastern Mediterranean,749044,2151.568,1110,3.188,129,9021,25.912,10,0.029,1
Sri Lanka,South-East Asia,656814,3067.325,2478,11.572,0,16415,76.658,54,0.252,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,654068,12821.308,1305,25.581,0,5622,110.205,34,0.666,0
Paraguay,Americas,646054,9057.842,1855,26.008,171,18548,260.048,66,0.925,10
Kuwait,Eastern Mediterranean,626384,14667.453,2179,51.024,270,2552,59.758,4,0.094,0
